location,new_deaths,total_vaccinations
Kazakhstan,0,3140963
Kazakhstan,0,3170032
Kazakhstan,0,3206473
Kazakhstan,0,3241998
Kazakhstan,0,3276918
Kazakhstan,0,3323620
Kazakhstan,0,3375005
Kazakhstan,144,3409522
Kazakhstan,0,3435240
Kazakhstan,0,3498939
Kazakhstan,0,3566878
Kazakhstan,0,3635425
Kazakhstan,0,3714092
Kazakhstan,0,3806686
Kazakhstan,121,3861948
Kazakhstan,0,3890186
Kazakhstan,0,3982697
Kazakhstan,0,4068193
Kazakhstan,0,4157358
Kazakhstan,0,4255193
Kazakhstan,0,4345853
Kazakhstan,80,4397655
Kazakhstan,0,4428255
Kazakhstan,0,4525197
Kazakhstan,0,4611224
Kazakhstan,0,4713807
Kazakhstan,0,4826715
Kazakhstan,0,4951029
Kazakhstan,93,5021117
Kazakhstan,0,5070217
Kazakhstan,0,5201167
Kazakhstan,0,5335768
Kazakhstan,0,5453306
Kazakhstan,0,5588733
Kazakhstan,0,5747548
Kazakhstan,175,5892097
Kazakhstan,0,5961831
Kazakhstan,0,6058585
Kazakhstan,0,6142705
Kazakhstan,0,6303889
Kazakhstan,0,6470158
Kazakhstan,0,6631615
Kazakhstan,239,6742275
Kazakhstan,0,6814950
Kazakhstan,0,6977194
Kazakhstan,0,7143683
Kazakhstan,0,7303180
Kazakhstan,0,7567360
Kazakhstan,365,7645097
Kazakhstan,0,7693534
Kazakhstan,0,7819581
Kazakhstan,0,7872926
Kazakhstan,0,8001622
Kazakhstan,0,8130877
Kazakhstan,0,8268903
Kazakhstan,539,8359068
Kazakhstan,0,8409760
Kazakhstan,0,8545226
Kazakhstan,0,8667367
Kazakhstan,0,8811134
Kazakhstan,0,8953785
Kazakhstan,0,9101581
Kazakhstan,0,9208838
Kazakhstan,0,9266699
Kazakhstan,0,9422035
Kazakhstan,0,9579252
Kazakhstan,832,9733159
Kazakhstan,0,9866185
Kazakhstan,0,10004227
Kazakhstan,0,10083693
Kazakhstan,0,10133567
Kazakhstan,882,10253180
Kazakhstan,0,10384678
Kazakhstan,0,10503374
Kazakhstan,0,10607929
Kazakhstan,0,10712219
Kazakhstan,0,10774674
Kazakhstan,934,10810765
Kazakhstan,0,10908584
Kazakhstan,0,11003032
Kazakhstan,0,11096951
Kazakhstan,0,11189420
Kazakhstan,0,11285628
Kazakhstan,0,11347235
Kazakhstan,930,11382327
Kazakhstan,0,11483650
Kazakhstan,0,11571835
Kazakhstan,0,11619575
Kazakhstan,0,11752505
Kazakhstan,0,11848609
Kazakhstan,0,11909481
